Ville,Label,Label
Antony,Colère ou problème spécifique,3
Antony,Problème de compétence,6
Antony,Problème emploi et formation,2
Antony,Problème gestion client,2
Argenteuil,Colère ou problème spécifique,3
Argenteuil,Problème de compétence,6
Argenteuil,Problème emploi et formation,3
Argenteuil,Problème gestion client,1
Asnières-sur-Seine,Colère ou problème spécifique,3
Asnières-sur-Seine,Problème de compétence,1
Asnières-sur-Seine,Problème emploi et formation,2
Aubervilliers,Colère ou problème spécifique,7
Aubervilliers,Problème de compétence,3
Aubervilliers,Problème emploi et formation,2
Aubervilliers,Problème gestion client,1
Aulnay-sous-Bois,Colère ou problème spécifique,4
Aulnay-sous-Bois,Problème de compétence,2
Aulnay-sous-Bois,Problème emploi et formation,6
Aulnay-sous-Bois,Problème gestion client,4
Aumône,Colère ou problème spécifique,9
Aumône,Problème emploi et formation,6
Aumône,Problème gestion client,2
Bagneux,Colère ou problème spécifique,2
Bagneux,Problème de compétence,1
Bagneux,Problème de radiation,1
Bezons,Colère ou problème spécifique,4
Bezons,Problème de compétence,1
Blanc-Mesnil,Colère ou problème spécifique,2
Blanc-Mesnil,Problème d'indemnisation et allocation,1
Blanc-Mesnil,Problème de compétence,2
Bobigny,Colère ou problème spécifique,1
Bobigny,Problème d'addresse,2
Bobigny,Problème de compétence,3
Bobigny,Problème emploi et formation,2
Bobigny,Problème gestion client,1
Bondy,Colère ou problème spécifique,5
Bondy,Problème de compétence,1
Bondy,Problème emploi et formation,1
Bondy,Problème gestion client,2
Boulogne-Billancourt,Colère ou problème spécifique,4
Boulogne-Billancourt,Problème de compétence,1
Boulogne-Billancourt,Problème emploi et formation,4
Boulogne-Billancourt,Problème gestion client,1
Brie-Comte-Robert,Colère ou problème spécifique,3
Brie-Comte-Robert,Problème emploi et formation,4
Brie-Comte-Robert,Problème gestion client,3
Brunoy,Colère ou problème spécifique,4
Brunoy,Problème de compétence,3
Brunoy,Problème emploi et formation,2
Brunoy,Problème gestion client,1
Cachan,Colère ou problème spécifique,3
Cachan,Problème d'addresse,1
Cachan,Problème emploi et formation,1
Cachan,Problème gestion client,1
Cergy,Colère ou problème spécifique,8
Cergy,Problème de compétence,2
Cergy,Problème emploi et formation,6
Cergy,Problème gestion client,3
Champigny-sur-Marne,Colère ou problème spécifique,6
Champigny-sur-Marne,Problème de compétence,9
Champigny-sur-Marne,Problème emploi et formation,6
Champigny-sur-Marne,Problème gestion client,1
Chelles,Problème emploi et formation,2
Chelles,Problème gestion client,1
Chennevières-sur-Marne,Colère ou problème spécifique,4
Chennevières-sur-Marne,Problème d'indemnisation et allocation,1
Chennevières-sur-Marne,Problème de compétence,3
Chennevières-sur-Marne,Problème gestion client,1
Chessy,Colère ou problème spécifique,6
Chessy,Problème de compétence,5
Chessy,Problème emploi et formation,5
Chessy,Problème gestion client,1
Choisy-le-Roi,Colère ou problème spécifique,8
Choisy-le-Roi,Problème de compétence,4
Choisy-le-Roi,Problème emploi et formation,5
Choisy-le-Roi,Problème gestion client,4
Clichy,Colère ou problème spécifique,2
Clichy,Problème d'indemnisation et allocation,1
Clichy,Problème de compétence,2
Clichy,Problème emploi et formation,5
Clichy-sous-Bois,Colère ou problème spécifique,8
Clichy-sous-Bois,Problème de compétence,6
Clichy-sous-Bois,Problème gestion client,1
Colombes,Colère ou problème spécifique,6
Colombes,Problème de compétence,6
Colombes,Problème emploi et formation,3
Colombes,Problème gestion client,6
Compiègne,Colère ou problème spécifique,3
Compiègne,Problème de compétence,4
Compiègne,Problème de radiation,1
Compiègne,Problème emploi et formation,2
Conflans-Sainte-Honorine,Colère ou problème spécifique,1
Conflans-Sainte-Honorine,Problème de compétence,2
Conflans-Sainte-Honorine,Problème emploi et formation,1
Courbevoie,Colère ou problème spécifique,3
Courbevoie,Problème de compétence,6
Courbevoie,Problème emploi et formation,1
Courbevoie,Problème gestion client,2
Courneuve,Colère ou problème spécifique,4
Courneuve,Problème de compétence,2
Courneuve,Problème emploi et formation,2
Courneuve,Problème gestion client,3
Crépy-en-Valois,Colère ou problème spécifique,2
Crépy-en-Valois,Problème d'indemnisation et allocation,1
Crépy-en-Valois,Problème de compétence,1
Crépy-en-Valois,Problème emploi et formation,1
Crépy-en-Valois,Problème gestion client,1
Créteil,Colère ou problème spécifique,10
Créteil,Problème de compétence,6
Créteil,Problème emploi et formation,6
Créteil,Problème gestion client,2
Domont,Colère ou problème spécifique,2
Domont,Problème d'indemnisation et allocation,1
Domont,Problème de compétence,2
Domont,Problème gestion client,1
Drancy,Colère ou problème spécifique,3
Drancy,Problème emploi et formation,2
Drancy,Problème gestion client,1
Ermont,Colère ou problème spécifique,3
Ermont,Problème de compétence,7
Ermont,Problème emploi et formation,9
Ermont,Problème gestion client,2
Ferté-sous-Jouarre,Colère ou problème spécifique,6
Ferté-sous-Jouarre,Problème d'indemnisation et allocation,1
Ferté-sous-Jouarre,Problème de compétence,1
Ferté-sous-Jouarre,Problème emploi et formation,1
Ferté-sous-Jouarre,Problème gestion client,1
Fitz-James,Colère ou problème spécifique,4
Fitz-James,Problème de compétence,5
Fitz-James,Problème emploi et formation,1
Fitz-James,Problème gestion client,2
Fontenay-sous-Bois,Colère ou problème spécifique,4
Fontenay-sous-Bois,Problème de compétence,2
Garges-lès-Gonesse,Colère ou problème spécifique,1
Garges-lès-Gonesse,Problème de compétence,2
Garges-lès-Gonesse,Problème de radiation,1
Garges-lès-Gonesse,Problème emploi et formation,1
Gennevilliers,Colère ou problème spécifique,2
Gennevilliers,Problème de compétence,1
Gennevilliers,Problème de radiation,1
Gennevilliers,Problème emploi et formation,4
Gennevilliers,Problème gestion client,1
Gonesse,Colère ou problème spécifique,5
Gonesse,Problème de compétence,4
Gonesse,Problème emploi et formation,7
Gonesse,Problème gestion client,1
Haÿ-les-Roses,Colère ou problème spécifique,3
Haÿ-les-Roses,Problème de compétence,2
Haÿ-les-Roses,Problème emploi et formation,1
Herblay-sur-Seine,Colère ou problème spécifique,2
Herblay-sur-Seine,Problème de compétence,4
Herblay-sur-Seine,Problème gestion client,1
Issy-les-Moulineaux,Colère ou problème spécifique,8
Issy-les-Moulineaux,Problème de compétence,6
Issy-les-Moulineaux,Problème emploi et formation,3
Ivry-sur-Seine,Colère ou problème spécifique,5
Ivry-sur-Seine,Problème de compétence,5
Ivry-sur-Seine,Problème emploi et formation,2
Ivry-sur-Seine,Problème gestion client,1
Lagny-sur-Marne,Colère ou problème spécifique,3
Lagny-sur-Marne,Problème emploi et formation,3
Lagny-sur-Marne,Problème gestion client,3
Levallois-Perret,Colère ou problème spécifique,3
Levallois-Perret,Problème de compétence,2
Levallois-Perret,Problème emploi et formation,2
Levallois-Perret,Problème gestion client,1
Livry-Gargan,Colère ou problème spécifique,4
Livry-Gargan,Problème de compétence,5
Livry-Gargan,Problème emploi et formation,5
Livry-Gargan,Problème gestion client,1
Longjumeau,Colère ou problème spécifique,4
Longjumeau,Problème gestion client,1
Maisons-Alfort,Colère ou problème spécifique,3
Maisons-Alfort,Problème de compétence,4
Maisons-Alfort,Problème emploi et formation,2
Margny-lès-Compiègne,Colère ou problème spécifique,3
Margny-lès-Compiègne,Problème de compétence,3
Margny-lès-Compiègne,Problème de radiation,1
Margny-lès-Compiègne,Problème emploi et formation,2
Margny-lès-Compiègne,Problème gestion client,3
Meaux,Colère ou problème spécifique,5
Meaux,Problème de compétence,3
Meaux,Problème emploi et formation,6
Meaux,Problème gestion client,2
Mitry-Mory,Colère ou problème spécifique,3
Mitry-Mory,Problème d'addresse,1
Mitry-Mory,Problème d'indemnisation et allocation,1
Mitry-Mory,Problème de compétence,3
Mitry-Mory,Problème emploi et formation,2
Mitry-Mory,Problème gestion client,3
Montataire,Colère ou problème spécifique,1
Montataire,Problème de compétence,3
Montataire,Problème emploi et formation,1
Montmorency,Colère ou problème spécifique,1
Montmorency,Problème de compétence,3
Montmorency,Problème emploi et formation,4
Montreuil,Colère ou problème spécifique,7
Montreuil,Problème d'addresse,1
Montreuil,Problème de compétence,2
Montreuil,Problème emploi et formation,3
Montreuil,Problème gestion client,2
Montrouge,Colère ou problème spécifique,6
Montrouge,Problème de compétence,8
Montrouge,Problème gestion client,4
Méru,Colère ou problème spécifique,2
Méru,Problème emploi et formation,4
Nanterre,Colère ou problème spécifique,6
Nanterre,Problème de compétence,5
Nanterre,Problème emploi et formation,3
Nanterre,Problème gestion client,1
Neuilly-sur-Marne,Colère ou problème spécifique,4
Neuilly-sur-Marne,Problème de compétence,2
Neuilly-sur-Marne,Problème emploi et formation,3
Neuilly-sur-Marne,Problème gestion client,1
Nogent-sur-Marne,Colère ou problème spécifique,3
Nogent-sur-Marne,Problème d'addresse,1
Nogent-sur-Marne,Problème de compétence,3
Nogent-sur-Marne,Problème de radiation,2
Nogent-sur-Marne,Problème emploi et formation,3
Nogent-sur-Oise,Colère ou problème spécifique,2
Nogent-sur-Oise,Problème de compétence,1
Nogent-sur-Oise,Problème emploi et formation,1
Noisy-le-Grand,Colère ou problème spécifique,8
Noisy-le-Grand,Problème de compétence,7
Noisy-le-Grand,Problème emploi et formation,3
Noisy-le-Grand,Problème gestion client,1
Noisy-le-Sec,Colère ou problème spécifique,6
Noisy-le-Sec,Problème de compétence,3
Noisy-le-Sec,Problème emploi et formation,1
Noisy-le-Sec,Problème gestion client,1
Pantin,Colère ou problème spécifique,6
Pantin,Problème de compétence,2
Pantin,Problème emploi et formation,4
Paris,Colère ou problème spécifique,86
Paris,Problème d'addresse,1
Paris,Problème d'indemnisation et allocation,5
Paris,Problème de compétence,61
Paris,Problème emploi et formation,54
Paris,Problème gestion client,24
Persan,Colère ou problème spécifique,6
Persan,Problème de compétence,4
Persan,Problème emploi et formation,2
Persan,Problème gestion client,1
Poissy,Colère ou problème spécifique,4
Poissy,Problème de compétence,3
Poissy,Problème emploi et formation,4
Poissy,Problème gestion client,2
Pontault-Combault,Colère ou problème spécifique,4
Pontault-Combault,Problème de compétence,2
Pontault-Combault,Problème emploi et formation,2
Pontault-Combault,Problème gestion client,4
Pré-Saint-Gervais,Problème emploi et formation,1
Puteaux,Problème de compétence,1
Puteaux,Problème emploi et formation,2
Puteaux,Problème gestion client,1
Roissy-en-France,Problème d'addresse,1
Rosny-sous-Bois,Colère ou problème spécifique,2
Rosny-sous-Bois,Problème de compétence,6
Rosny-sous-Bois,Problème emploi et formation,1
Rueil-Malmaison,Colère ou problème spécifique,5
Rueil-Malmaison,Problème de compétence,3
Rueil-Malmaison,Problème emploi et formation,2
Rueil-Malmaison,Problème gestion client,4
Saint-Denis,Colère ou problème spécifique,2
Saint-Denis,Problème de compétence,5
Saint-Denis,Problème emploi et formation,1
Saint-Denis,Problème gestion client,2
Saint-Germain-en-Laye,Colère ou problème spécifique,1
Saint-Germain-en-Laye,Problème d'indemnisation et allocation,1
Saint-Germain-en-Laye,Problème de compétence,5
Saint-Germain-en-Laye,Problème emploi et formation,2
Saint-Germain-en-Laye,Problème gestion client,1
Saint-Gratien,Colère ou problème spécifique,3
Saint-Gratien,Problème de compétence,1
Saint-Gratien,Problème emploi et formation,2
Saint-Maur-des-Fossés,Colère ou problème spécifique,1
Saint-Maur-des-Fossés,Problème de compétence,1
Saint-Maur-des-Fossés,Problème emploi et formation,2
Saint-Maur-des-Fossés,Problème gestion client,1
Saint-Maximin,Colère ou problème spécifique,2
Saint-Maximin,Problème de compétence,1
Saint-Maximin,Problème gestion client,1
Saint-Ouen-sur-Seine,Colère ou problème spécifique,6
Saint-Ouen-sur-Seine,Problème de compétence,2
Saint-Ouen-sur-Seine,Problème emploi et formation,2
Saint-Ouen-sur-Seine,Problème gestion client,1
Sarcelles,Colère ou problème spécifique,3
Sarcelles,Problème de compétence,4
Sarcelles,Problème emploi et formation,3
Sarcelles,Problème gestion client,1
Sartrouville,Colère ou problème spécifique,6
Sartrouville,Problème de compétence,4
Sartrouville,Problème de radiation,1
Sartrouville,Problème emploi et formation,3
Sartrouville,Problème gestion client,2
Savigny-sur-Orge,Colère ou problème spécifique,9
Savigny-sur-Orge,Problème de radiation,1
Savigny-sur-Orge,Problème emploi et formation,2
Savigny-sur-Orge,Problème gestion client,4
Sevran,Colère ou problème spécifique,1
Sevran,Problème emploi et formation,1
Sevran,Problème gestion client,1
Stains,Colère ou problème spécifique,1
Stains,Problème de compétence,3
Stains,Problème emploi et formation,3
Stains,Problème gestion client,1
Sucy-en-Brie,Colère ou problème spécifique,2
Sucy-en-Brie,Problème d'indemnisation et allocation,1
Sucy-en-Brie,Problème de compétence,5
Sucy-en-Brie,Problème emploi et formation,2
Taverny,Colère ou problème spécifique,5
Taverny,Problème d'indemnisation et allocation,1
Taverny,Problème de compétence,2
Taverny,Problème emploi et formation,2
Torcy,Colère ou problème spécifique,4
Torcy,Problème d'indemnisation et allocation,1
Torcy,Problème de compétence,8
Torcy,Problème emploi et formation,3
Torcy,Problème gestion client,1
Tremblay-en-France,Colère ou problème spécifique,3
Tremblay-en-France,Problème de compétence,5
Tremblay-en-France,Problème emploi et formation,3
Versailles,Colère ou problème spécifique,3
Versailles,Problème de compétence,2
Versailles,Problème emploi et formation,7
Versailles,Problème gestion client,3
Villejuif,Colère ou problème spécifique,6
Villejuif,Problème de compétence,9
Villejuif,Problème emploi et formation,5
Villejuif,Problème gestion client,1
Villeneuve-Saint-Georges,Colère ou problème spécifique,5
Villeneuve-Saint-Georges,Problème de compétence,1
Villeneuve-Saint-Georges,Problème emploi et formation,1
Vincennes,Colère ou problème spécifique,5
Vincennes,Problème de compétence,3
Viry-Châtillon,Colère ou problème spécifique,1
Viry-Châtillon,Problème de compétence,3
Viry-Châtillon,Problème emploi et formation,2
Viry-Châtillon,Problème gestion client,3
Vitry-sur-Seine,Colère ou problème spécifique,3
Vitry-sur-Seine,Problème d'indemnisation et allocation,1
Vitry-sur-Seine,Problème de compétence,2
Vitry-sur-Seine,Problème emploi et formation,3
Vitry-sur-Seine,Problème gestion client,1
Épinay-sur-Seine,Colère ou problème spécifique,1
Épinay-sur-Seine,Problème de compétence,4
Épinay-sur-Seine,Problème emploi et formation,3
Épinay-sur-Seine,Problème gestion client,3
